"Driver","mean_EM","SD_EM","mean_no_EM","SD_no_EM","AD_p","adj_AD_p","mean_2016","SD_2016","mean_2017","SD_2017","mean_2018","SD_2018","mean_2019","SD_2019"
"BV_Dinoflagellates",80805.3044739587,174278.717114184,106162.620881601,163003.242861697,0.26684,1,41262.3133134433,59033.2286115833,133529.292687979,252629.126191327,187894.120151163,210673.363608966,34046.5921143401,29254.4974378009
"BV_Euglenoids",20851.9081410774,39077.9883634442,46709.6408430725,160718.681387253,0.57164,1,17469.2742821503,29604.7857185459,25362.0866196469,49810.0955326898,91744.160449465,229858.006187549,6973.30001390261,15401.4288872832
"BV_Raphids",1098.38011942323,6498.1044186783,0,0,0.40655,1,0,0,2562.88694532087,9926.01845744012,0,0,0,0
"rel_abund_Bacillaria",0.0807304537738541,0.098346511103821,0.0486611477129904,0.0639424337271148,0.13373,1,0.0841659954839376,0.118908737283915,0.0761497314937429,0.0652752195057864,0.0463586209246713,0.0494229932755638,0.0506927889968014,0.0759938874957812
"rel_abund_Chlorophytes",0.0879814798414542,0.079374223851565,0.0904965139878591,0.13719686629683,0.14333,1,0.114126954736109,0.0940923845465414,0.0531208466485807,0.03172905259201,0.112256346976679,0.17602878382794,0.0712966613506654,0.0923097322506939
"rel_abund_Chrysophytes",0.0595954465223716,0.137807016577397,0.0317541968683837,0.0899450951812555,0.30675,1,0.0970035743051283,0.174201990156892,0.00971794281202932,0.0164797160236364,0.0613427024736357,0.126806261624555,0.00564669192257306,0.00773266988046132
"rel_abund_Cryptophytes",0.273342285432474,0.278135624766159,0.202685352058615,0.204282175317177,0.29287,1,0.267015495418885,0.294611356752267,0.281778005450593,0.264471347480806,0.217530543745717,0.195343871096517,0.189586653511173,0.216970007139093
"rel_abund_Cyanobacteria",0.358480365958881,0.257474175410653,0.430041795686973,0.352233966169886,0.13997,1,0.319107948940077,0.208893566911884,0.410976921983953,0.310819692807097,0.223870992782197,0.278555657226009,0.611957210014716,0.312214420628441
"rel_abund_Desmids",0.010130619800821,0.0197636191196287,0.083597886680962,0.110897973362794,0.00052338,0.02250534,0.00408029324788398,0.0125459575226388,0.0181977218714036,0.0247581166571935,0.147066834005968,0.123875864249259,0.0275958743353682,0.0573778693580921
"rel_abund_Dinoflagellates",0.0945988619716411,0.0829858131637609,0.0897888783714513,0.102633991066706,0.68822,1,0.0902604859495651,0.0896378347069057,0.100383363334409,0.0758775858872118,0.146563720806361,0.12066310421116,0.0396934291641779,0.0445101633099854
"rel_abund_Euglenoids",0.0330562843073585,0.0663569769690057,0.0229742286327657,0.0697007052139971,0.50227,1,0.0242392519184139,0.0457481049501753,0.044812327492618,0.08714424939889,0.0450102382847709,0.0984526371088624,0.00353069070452577,0.0086323422116585
"rel_abund_Raphids",0.00208420239114419,0.012330307630136,0,0,0.40655,1,0,0,0.00486313891266977,0.0188348560190633,0,0,0,0
"richness",12.3428571428571,2.63397325841597,12.875,2.40630891214016,0.56154,1,11.85,2.18306882018965,13,3.09377254681539,13.6,2.32379000772445,12.2352941176471,2.35927456447702
"shannon",1.48881120861417,0.523668941232907,1.31656504823989,0.531256565674654,0.10058,1,1.56643522730017,0.568095507648998,1.38531251703282,0.455967133611486,1.60693435232796,0.421180625195465,1.06035683875041,0.492766174612079
"jaccard",0.445910189864193,0.175084499725001,0.377720143605742,0.117978606883343,0.012012,0.492492,0.420113981950282,0.193697041755222,0.480305133749406,0.145981746524526,0.355682600300579,0.131210033279044,0.395868708680583,0.106466297537714
"braycurtis",0.585456201633325,0.190959651600965,0.57237877530153,0.179569294088596,0.97177,1,0.56659745250041,0.173009218845036,0.610601200477211,0.216220999899083,0.645246658817559,0.133288334660115,0.512369930053037,0.193785408932112
